"cell_id","sigma_new","omega_new","sigma_stage1","importer","good","adjust","hliml_status","final_source","sigma_prod","omega_prod","sigma_hliml_prod","omega_hliml_prod","sigma_step2_prod","omega_step2_prod","status_prod","sigma_diff","heuristic_boundary"
"591_0901",5.55395815562125,1.33628012182105,4.24217251349286,591,"0901",0,"ok","hliml",5.55395815540347,1.336280121635,5.55395815540347,1.336280121635,5.58961354215674,0.729879914818636,"ok",2.17776019439953e-10,FALSE
"591_8204",4.89863796628297,1e-04,4.65747302874865,591,"8204",1,"hliml_fail_no_convergence","step2_weighted",4.89863796628299,1e-04,NA,NA,4.89863796628299,1e-04,"ok",-2.04281036531029e-14,FALSE
"591_9009",10,1e-04,4.8584719582747,591,"9009",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,13.7023883833151,1e-04,"ok",0,TRUE
"598_7307",3.00475388317121,1e-04,3.7188788813529,598,"7307",1,"hliml_fail_no_convergence","step2_weighted",3.0047538831712,1e-04,NA,NA,3.0047538831712,1e-04,"ok",7.99360577730113e-15,FALSE
"598_9506",9.88884368382701,1e-04,3.93233013212672,598,"9506",1,"hliml_fail_no_convergence","step2_weighted",9.88884368382467,1e-04,NA,NA,9.88884368382467,1e-04,"ok",2.34123831432953e-12,FALSE
"600_6208",3.58571805723377,2.73101821762444,5.36453296188804,600,"6208",0,"ok","hliml",3.58571805723145,2.73101821761805,3.58571805723145,2.73101821761805,3.87348038026112,2.66469037979416,"ok",2.31903385383703e-12,FALSE
"604_5602",4.06688104113773,1.97971422507162,3.58828726353919,604,"5602",0,"ok","hliml",4.06688104164391,1.97971422574564,4.06688104164391,1.97971422574564,3.02460985796981,1.82483190940076,"ok",-5.06183539528138e-10,FALSE
"604_9501",10,1e-04,2.80725709754184,604,"9501",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,197.444438233824,1e-04,"ok",0,TRUE
"608_0809",5.98632735973579,0.550145156726584,10.92625071925,608,"0809",1,"hliml_fail_no_convergence","step2_weighted",5.98632735973591,0.550145156726604,NA,NA,5.98632735973591,0.550145156726604,"ok",-1.22568621918617e-13,FALSE
"634_0803",4.9438426412412,1.27280708943826,13.7837307620245,634,"0803",1,"hliml_fail_no_convergence","step2_weighted",4.94384264124119,1.27280708943826,NA,NA,4.94384264124119,1.27280708943826,"ok",9.76996261670138e-15,FALSE
