"cell_id","sigma_new","omega_new","sigma_stage1"
"752_6307",4.56253409794821,0.819603410393205,4.425003308572
"757_3402",3.40828386799037,9.8777025450541,4.43859081204996
"76_7015",2.26706450510601,4.30129077267933,3.25034270690669
"762_8423",1.484064870357,1e-04,3.21202859036063
"764_3806",10,5.88138328123073,3.26050532706508
"768_8472",1.05278897851313,0.480035470866964,4.01131939912844
"780_6301",6.74250443968392,1e-04,4.0575204772305
"792_1211",1.78061540716038,0.200293340460999,6.50888257993639
"792_9612",1.00923804943786,0.0935646797779087,5.47533095419004
"800_7318",4.7511481970784,1e-04,3.22475154113076
"807_4905",2.46436777544797,0.511507590426696,4.5681287200021
"826_0907",10,1e-04,32.2974181239066
"826_2303",3.09210923265289,1e-04,8.8214668650211
"834_2826",1.75667343767706,10,4.75577385664932
"84_1501",2.30825779834409,0.0555256664286799,3.16202792984051
"84_7313",10,1e-04,14.4609511280034
"858_8464",10,1e-04,2.65625429214444
"860_7310",1.45809590426576,1.78000161203309,3.6580435194646
"887_1510",4.03587804155248,1.70351634912222,21.227694867864
"894_3913",10,1e-04,3.27023505777395
"894_4909",1.24562401458532,0.0216564063857925,49.7070709931159
"894_8505",3.01859889276045,10,10.4543298143729
